Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
LUXM3,10,"6,15","0,48","0,38","0,00%","0,339","-99,73","2,51","-2,42","2,43","1,39","15,13%","6,18%","0,98","15,09%","7,84%",0,"107.812.000,00","0,1","2,19%"
CALI3,"8,25","6,15","1,56","0,32","5,24%","0,137","0,39","3,82","-0,43","13,41","12,89","8,36%","5,20%","2,44","4,39%","25,33%","3.083,49","19.711.000,00","5,34","122,16%"
LEVE3,"27,66","6,19","2,15","0,876","15,19%","1,13","3,68","5,17","7,66","5,35","4,69","16,96%","14,09%","1,96","27,80%","34,78%","6.070.990,00","1.647.100.000,00","0,25","13,37%"
CSRN5,"19,3","6,2","2,55","0,92","23,08%","0,574","18,12","4,11","-1,19","7,07","5,96","22,41%","14,84%","1,12","16,55%","41,05%","3.846,33","1.274.000.000,00","2,31","14,86%"
COCE5,"41,5","6,23","0,87","0,364","4,68%","0,259","-4,13","2,19","-0,59","5,01","4,02","16,61%","5,84%","0,81","13,75%","13,98%","3.669.120,00","3.710.520.000,00","1,2","15,91%"
AGRO3,"26,6","6,24","1,2","1,601","19,76%","0,782","3,12","4,9","11,16","5,22","4,71","32,70%","25,68%","2,51","20,32%","19,20%","17.165.700,00","2.274.110.000,00","0,29","39,76%"
TAEE4,"11,2","6,26","1,67","4,099","14,45%","0,648","4,38","5,21","-1,59","8,32","8,22","78,69%","65,49%","3,71","13,72%","26,61%","4.559.380,00","6.950.930.000,00","1,22","22,98%"
ENGI4,"7,26","6,31","1,27","0,543","8,59%","0,248","5,24","2,43","-0,47","6,01","4,97","22,35%","9,63%","1,22","11,73%","20,11%","121.081,00","11.665.100.000,00","2,37","15,68%"
SANB3,"12,21","6,32","1,11",0,"8,74%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","17,58%","4.321.760,00","82.397.300.000,00",0,"12,69%"
BMGB4,"2,22","6,42","0,34",0,"25,03%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","5,25%","3.902.720,00","3.839.060.000,00",0,"-10,18%"
CAML3,"8,17","6,48","1,02","0,305","4,52%","0,346","1,09","5,16","-6,74","9,7","7,18","5,92%","4,72%","2,08","9,48%","15,69%","11.641.300,00","2.892.640.000,00","1,39","22,76%"
BRIV4,"8,7","6,48","0,46",0,"7,01%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","7,10%","30.652,60","1.676.120.000,00",0,"59,95%"
SHUL4,"4,55","6,5","1,56","0,814","3,28%","0,703","1,67","5,6","7,04","6,84","5,64","14,54%","12,53%","2,84","17,32%","24,03%","2.315.290,00","1.041.630.000,00","0,81","22,73%"
QUAL3,"5,11","6,5",1,"0,719","5,00%","0,309","2,2","2,02","-0,8","4,16","2,67","35,64%","11,59%","1,88","19,96%","15,43%","35.750.500,00","1.447.140.000,00","1,61","1,24%"
EVEN3,"4,48","6,51","0,49","0,401","4,99%","0,147","0,34","3,73","0,98","2,69","2,6","10,78%","10,51%","2,48","4,53%","7,54%","7.215.470,00","1.936.160.000,00","0,24","11,50%"
BMKS3,"327,97","6,55","0,72","8,318","5,45%","0,651","0,85","-37,77","0,94","3,63","4,07","-22,02%","126,97%","36,02","-6,28%","11,05%","6.846,44","206.103.000,00","0,01","8,35%"
BBDC4,"13,82","6,56","0,94",0,"4,60%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","14,32%","1.040.090.000,00","156.884.000.000,00",0,"24,42%"
CMIG4,"10,95","6,61","1,14","0,69","12,60%","0,442","7,69","4,95","-1,29","6,3","5,09","13,95%","10,45%","1,27","10,37%","17,31%","158.433.000,00","21.073.900.000,00","0,54","10,93%"
CIQU3,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,5","5,23","9,72%","6,22%","1,36","12,70%","15,87%",0,"296.175.000,00","0,84","16,23%"
CIQU4,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,5","5,23","9,72%","6,22%","1,36","12,70%","15,87%",0,"296.175.000,00","0,84","16,23%"
ITUB3,"20,53","6,64","1,27",0,"4,96%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","19,13%","22.409.000,00","158.498.000.000,00",0,"-46,09%"
PTNT3,"9,7","6,68","1,32","0,536","3,29%","0,534","3,05","7,85","18,54","10,18","6,96","6,82%","9,60%","1,47","8,95%","19,76%","16.433,00","353.213.000,00","0,72","15,40%"
BRIV3,"9,01","6,71","0,48",0,"0,60%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","7,10%","23.296,00","1.676.120.000,00",0,"59,95%"
PLPL3,"3,4","6,72","1,81","0,513","4,74%","0,473","0,69","2,44","3,39","3,07","2,83","21,05%","7,63%","4,51","26,27%","26,93%","3.084.450,00","383.684.000,00","1,21","8,49%"
EKTR4,"36,99","6,73","2,36","0,836","21,30%","0,693","6,49","3,63","-1,84","5,72","4,95","23,06%","12,43%","1,48","22,81%","35,02%","30.158,70","3.041.000.000,00","1,68","11,79%"
SANB11,"26,04","6,74","1,18",0,"8,61%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","17,58%","77.479.600,00","82.397.300.000,00",0,"12,69%"
CSRN6,21,"6,75","2,77","1,001","21,21%","0,625","19,72","4,47","-1,3","7,43","6,27","22,41%","14,84%","1,12","16,55%","41,05%","526,65","1.274.000.000,00","2,31","14,86%"
RSUL4,"70,66","6,79","3,38","1,092","2,77%","1,263","5,05","4,17","-14,29","3,99","3,77","26,19%","16,08%","1,87","36,31%","49,79%","125.865,00","124.136.000,00","0,09","30,21%"
CPFE3,"30,1","6,86","2,25","0,877","10,77%","0,526","-33,05","3,83","-0,96","5,95","5,05","22,91%","13,09%","0,93","15,50%","32,77%","75.600.300,00","15.423.700.000,00","1,53","9,41%"
POMO3,"1,89","6,89","0,59","0,38","1,96%","0,244","1,22","10,6","-8,56","19,13","11,39","3,58%","5,02%","1,57","2,99%","8,53%","291.670,00","3.045.390.000,00","0,78","1,97%"
SOND3,"46,01","6,9","1,95","0,937","13,11%","1,246","3,97","4,59","5,92","3,37","3,13","20,42%","13,58%","2,21","41,40%","28,31%",0,"57.907.000,00",0,"22,59%"
CSUD3,"11,3","6,91","1,3","0,896","6,86%","0,8","21,91","4,67","-9,64","4,68","2,91","19,18%","12,96%","1,14","21,52%","18,83%","1.311.170,00","362.819.000,00","0,24","5,43%"
CSRN3,"21,57","6,93","2,85","1,028","18,77%","0,642","20,25","4,59","-1,33","7,55","6,37","22,41%","14,84%","1,12","16,55%","41,05%","14.857,80","1.274.000.000,00","2,31","14,86%"
CRPG6,"25,51","6,99","0,81","0,811","21,90%","0,631","1,36","8,06","1,76","6,37","4,72","10,07%","11,61%","4,91","9,69%","11,62%","46.637,50","911.266.000,00","0,01","12,63%"
WLMM4,"21,9","7,03","1,32","0,448","4,72%","1,08","2,56","6,86","3,15","6,22","6,01","6,53%","6,36%","5,14","18,32%","18,75%","35.736,60","605.078.000,00","0,02","28,20%"
EQMA3B,"25,49","7,05","1,32","0,824","7,96%","0,528","6,37","3,65","-1,78","4,87","4,05","22,58%","11,69%","1,37","17,30%","18,78%","13.854,70","3.161.970.000,00","0,69","9,55%"
ALLD3,"5,59","7,06","0,34","0,096","10,21%","0,139","0,5","2,9","1,92","5,86","4,15","3,31%","1,36%","1,72","7,29%","4,88%","274.177,00","1.512.190.000,00","0,42","-5,49%"
WLMM3,"22,17","7,12","1,33","0,453","4,24%","1,093","2,59","6,94","3,19","6,3","6,09","6,53%","6,36%","5,14","18,32%","18,75%","103,58","605.078.000,00","0,02","28,20%"
WIZS3,"6,97","7,14","2,57","1,272","8,44%","0,56","-11,64","2,88","-1,69","2,96","2,58","44,16%","24,93%","0,79","22,74%","35,93%","12.084.000,00","434.444.000,00","0,62","12,41%"
JOPA3,"21,7","7,14","0,4","0,106","3,81%","0,092","0,26","1,93","1,86","7,27","6,39","5,46%","1,79%","1,93","7,34%","5,63%","14.356,30","571.085.000,00","2,35","20,03%"
TRPL3,28,"7,14","1,15","3,262","0,62%","0,575","4,8","5,37","-1,71","7,34","7,29","60,70%","46,51%","5,29","11,22%","16,07%","80.250,70","16.073.700.000,00","0,51","18,87%"
SANB4,"13,89","7,19","1,26",0,"8,45%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","17,58%","5.159.170,00","82.397.300.000,00",0,"12,69%"
